
Arsenic (and its compounds); 0.655807; 0.535319; 0.628051; 0.555944; 0.431413; 0.442236; 0.420331; 
3-Methylcholanthrene - PAH; 0.000000; 0.000257; 0.000249; 0.000000; 0.000000; 0.000000; 0.000000; 
n-Hexane; 1858.200600; 1735.190000; 1666.109470; 2104.753540; 2297.499600; 1549.886000; 1583.799500; 
Fluorene - PAH; 0.302111; 0.218743; 0.258335; 0.195246; 0.216563; 0.236432; 0.247217; 
Chlorine dioxide; 21.832000; 20.232000; 22.233000; 18.462000; 21.542000; 22.478000; 52.880500; 
Isopropyl alcohol; 32.350000; 9.694000; 7.610000; 8.347000; 8.191700; 16.860000; 8.262500; 
Dichloromethane; 26.379000; 5.796000; 2.030000; 6.860000; 0.000000; 2.860000; 3.297000; 
Hexavalent chromium (and its compounds); 0.653485; 0.571940; 0.557380; 0.533348; 0.534558; 0.446685; 0.489365; 
Cresol (all isomers and their salts); 0.071000; 0.076000; 0.000000; 18.530000; 18.293700; 17.416000; 11.165100; 
Acenaphthene - PAH; 0.162838; 0.101726; 0.116973; 0.069148; 0.080861; 0.088635; 0.089157; 
Selenium (and its compounds); 0.000000; 0.000000; 0.000000; 0.000000; 0.001000; 0.322040; 0.320561; 
1,3-Butadiene; 8.180000; 10.248000; 5.223000; 4.150000; 2.577000; 4.286000; 3.877000; 
Mercury (and its compounds); 0.921511; 0.978267; 0.626925; 0.723089; 0.808168; 0.396812; 0.448649; 
Nickel (and its compounds); 5.117000; 5.924000; 6.321000; 4.844000; 4.806100; 4.588200; 4.556800; 
Ammonia (total); 10431.294000; 9206.707000; 8816.696000; 8045.966000; 8630.819500; 8846.636700; 9272.599400; 
Nitrate ion in solution at pH >= 6.0; 0.000000; 0.000000; 0.000000; 0.000000; 0.010000; 0.000000; 0.000000; 
Zinc (and its compounds); 14.556000; 8.771000; 12.124000; 13.342000; 11.911900; 132.862400; 9.526900; 
Dibenz(a,h)acridine - PAH; 0.000000; 0.000000; 0.000000; 0.000080; 0.000000; 0.000000; 0.000000; 
Methyl isobutyl ketone; 8.040000; 30.142000; 18.969000; 2.896000; 3.104700; 0.004700; 9.405600; 
Methanol; 2167.668000; 1939.390000; 2062.970000; 1828.736000; 1842.521600; 2328.816700; 2093.133300; 
Methyl tert-butyl ether; 0.104000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 
Vinyl chloride; 0.649000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 
Phenol (and its salts); 7.947000; 9.249000; 7.611950; 0.566200; 0.698300; 0.408100; 11.187400; 
Tetrachloroethylene; 0.008000; 0.362000; 0.362000; 0.024000; 0.010400; 0.000000; 0.000000; 
Vanadium (except when in an alloy) and its compounds; 8.341000; 7.293000; 7.704000; 7.146335; 7.718000; 5.647200; 5.295300; 
Benzo(g,h,i)perylene - PAH; 0.006360; 0.003228; 0.006147; 0.003893; 0.002487; 0.004764; 0.006042; 
Carbon disulphide; 1101.517000; 1254.019000; 963.193000; 891.159000; 913.050200; 671.516000; 439.501000; 
Phenanthrene - PAH; 3.213506; 2.812594; 2.699610; 1.681899; 2.032894; 2.283863; 2.239151; 
7H-Dibenzo(c,g)carbazole - PAH; 0.000224; 0.000250; 0.000259; 0.000006; 0.000000; 0.000000; 0.000000; 
7,12-Dimethylbenz(a)anthracene - PAH; 0.000000; 0.000355; 0.000254; 0.000085; 0.000000; 0.000002; 0.000489; 
Hexachlorobenzene; 0.005632; 0.002598; 0.001768; 0.001795; 0.001888; 0.002126; 0.001198; 
Benzo(j)fluoranthene - PAH; 0.002900; 0.001303; 0.001402; 0.000546; 0.000000; 0.000440; 0.001536; 
Dicyclopentadiene; 0.750000; 1.409000; 1.446000; 0.721000; 0.638000; 0.000000; 1.014000; 
Acenaphthylene - PAH; 16.124894; 12.566082; 12.246722; 8.468940; 10.995265; 12.427810; 11.271657; 
Propylene; 121.959000; 203.468000; 208.929000; 186.952000; 189.374500; 202.466900; 157.586900; 
PAHs, total unspeciated; 0.582780; 0.590400; 0.581550; 0.191154; 0.795213; 0.894175; 1.908607; 
Methyl ethyl ketone; 70.679000; 106.795000; 90.841000; 32.497000; 37.623200; 64.852000; 47.921000; 
Chloroform; 0.128000; 0.129000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 
Styrene; 168.440000; 182.954000; 124.963000; 65.518000; 68.557000; 61.795000; 154.374000; 
Naphthalene; 12.468000; 7.047000; 6.949000; 0.708000; 7.728600; 21.063400; 1.763000; 
Benzo(b)fluoranthene - PAH; 0.005035; 0.003365; 0.002540; 0.002980; 0.002402; 0.002537; 0.003078; 
Toluenediisocyanate (mixed isomers); 0.053000; 0.044000; 0.032000; 0.033000; 0.038100; 0.000000; 0.000000; 
Carbonyl sulphide; 1743.483000; 1732.786000; 1724.580000; 1922.751000; 1856.110600; 1697.969600; 1132.779800; 
Ethylbenzene; 183.470000; 173.754000; 618.864820; 612.415000; 657.840600; 134.304600; 136.007600; 
Dibenz(a,j)acridine - PAH; 0.000617; 0.000275; 0.000284; 0.000020; 0.000000; 0.000000; 0.000000; 
Acetonitrile; 0.000000; 0.758000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 
Biphenyl; 0.001000; 0.000000; 0.000000; 0.425000; 0.500200; 0.503000; 0.404000; 
Cyclohexane; 357.029000; 324.007500; 373.790000; 342.933000; 274.253500; 262.104800; 358.877700; 
Molybdenum trioxide; 0.000000; 0.000000; 2.331000; 0.204000; 0.000000; 0.000000; 0.000000; 
Perylene - PAH; 0.001988; 0.000788; 0.000306; 0.000885; 0.000362; 0.001510; 0.001585; 
Hydrogen sulphide; 932.833000; 976.774000; 1525.345800; 1548.867760; 1528.824100; 840.373400; 766.666100; 
i-Butyl alcohol; 79.223000; 63.444000; 36.481000; 30.004000; 21.756000; 26.000000; 26.400000; 
Polymeric diphenylmethane diisocyanate; 0.001000; 0.001000; 1.508000; 0.002000; 0.001800; 0.000000; 0.000000; 
Trichloroethylene; 14.026000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 
Chlorine; 6.234000; 15.816000; 15.678000; 15.622000; 14.632000; 28.538000; 94.582000; 
Nitrogen oxides (expressed as NO2); 433339.532000; 426529.813200; 390919.915000; 375819.981840; 351806.859700; 343000.738900; 327091.674800; 
Hydrochloric acid; 450.916000; 446.241000; 406.185000; 399.636000; 366.169500; 432.109000; 1058.816000; 
Benzo(a)pyrene - PAH; 0.010290; 0.009239; 0.005256; 0.005198; 0.002410; 0.002315; 0.002707; 
Benzo(a)phenanthrene - PAH; 0.025344; 0.026407; 0.019726; 0.016270; 0.012452; 0.020262; 0.020226; 
1,2,4-Trimethylbenzene; 139.030000; 132.679000; 575.880350; 547.269000; 635.739700; 127.736900; 113.381300; 
Antimony (and its compounds); 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.266000; 0.000000; 
Silver (and its compounds); 0.000000; 0.000000; 0.000000; 0.001000; 0.000000; 0.000000; 0.000000; 
Hydrogen fluoride; 872.880000; 857.548000; 838.025000; 801.890000; 761.556200; 666.571600; 6470.288600; 
